AsOfDate,Account Number,Account Name,Branch Number,View,Amount
2025-07-31,101015,ATM CASH                           ,1,Average Balance,110059.68
2025-07-31,101015,ATM CASH                           ,1,Ending Balance,120000
2025-07-31,101015,ATM CASH                           ,2,Average Balance,135483.87
2025-07-31,101015,ATM CASH                           ,2,Ending Balance,140000
2025-07-31,101015,ATM CASH                           ,3,Average Balance,77806.45
2025-07-31,101015,ATM CASH                           ,3,Ending Balance,80000
2025-07-31,101015,ATM CASH                           ,4,Average Balance,77419.35
2025-07-31,101015,ATM CASH                           ,4,Ending Balance,80000
2025-07-31,101015,ATM CASH                           ,5,Average Balance,87096.77
2025-07-31,101015,ATM CASH                           ,5,Ending Balance,90000
2025-07-31,101015,ATM CASH                           ,6,Average Balance,58064.52
2025-07-31,101015,ATM CASH                           ,6,Ending Balance,60000
2025-07-31,101015,ATM CASH                           ,7,Average Balance,77419.35
2025-07-31,101015,ATM CASH                           ,7,Ending Balance,80000
2025-07-31,101015,ATM CASH                           ,9,Average Balance,38064.52
2025-07-31,101015,ATM CASH                           ,9,Ending Balance,30000
2025-07-31,101015,ATM CASH                           ,10,Average Balance,93548.39
2025-07-31,101015,ATM CASH                           ,10,Ending Balance,100000
2025-07-31,101015,ATM CASH                           ,15,Average Balance,49092.58
2025-07-31,101015,ATM CASH                           ,15,Ending Balance,40000
2025-07-31,101015,ATM CASH                           ,17,Average Balance,37830.32
2025-07-31,101015,ATM CASH                           ,21,Average Balance,79354.84
2025-07-31,101015,ATM CASH                           ,21,Ending Balance,80000
2025-07-31,101015,ATM CASH                           ,22,Average Balance,38709.68
2025-07-31,101015,ATM CASH                           ,22,Ending Balance,40000
2025-07-31,101015,ATM CASH                           ,40,Average Balance,9677.42
2025-07-31,101015,ATM CASH                           ,40,Ending Balance,10000
2025-07-31,101015,ATM CASH                           ,41,Average Balance,9677.42
2025-07-31,101015,ATM CASH                           ,41,Ending Balance,10000
2025-07-31,101065,TELLER/VAULT CASH                  ,1,Average Balance,1053249.83
2025-07-31,101065,TELLER/VAULT CASH                  ,1,Ending Balance,955772.63
2025-07-31,101065,TELLER/VAULT CASH                  ,2,Average Balance,347869.65
2025-07-31,101065,TELLER/VAULT CASH                  ,2,Ending Balance,346951.43
2025-07-31,101065,TELLER/VAULT CASH                  ,3,Average Balance,228959.46
2025-07-31,101065,TELLER/VAULT CASH                  ,3,Ending Balance,267550.63
2025-07-31,101065,TELLER/VAULT CASH                  ,4,Average Balance,239915.07
2025-07-31,101065,TELLER/VAULT CASH                  ,4,Ending Balance,279303.66
2025-07-31,101065,TELLER/VAULT CASH                  ,5,Average Balance,393907.8
2025-07-31,101065,TELLER/VAULT CASH                  ,5,Ending Balance,416903.12
2025-07-31,101065,TELLER/VAULT CASH                  ,6,Average Balance,250795.37
2025-07-31,101065,TELLER/VAULT CASH                  ,6,Ending Balance,304876.53
2025-07-31,101065,TELLER/VAULT CASH                  ,7,Average Balance,216478.63
2025-07-31,101065,TELLER/VAULT CASH                  ,7,Ending Balance,202649.9
2025-07-31,101065,TELLER/VAULT CASH                  ,9,Average Balance,191619.87
2025-07-31,101065,TELLER/VAULT CASH                  ,9,Ending Balance,242834.9
2025-07-31,101065,TELLER/VAULT CASH                  ,10,Average Balance,268960.13
2025-07-31,101065,TELLER/VAULT CASH                  ,10,Ending Balance,347018.57
2025-07-31,101065,TELLER/VAULT CASH                  ,15,Average Balance,203649.69
2025-07-31,101065,TELLER/VAULT CASH                  ,15,Ending Balance,236727.43
2025-07-31,101065,TELLER/VAULT CASH                  ,17,Average Balance,275143.61
2025-07-31,101065,TELLER/VAULT CASH                  ,17,Ending Balance,325335.78
2025-07-31,101065,TELLER/VAULT CASH                  ,21,Average Balance,503394.01
2025-07-31,101065,TELLER/VAULT CASH                  ,21,Ending Balance,557078.74
2025-07-31,101065,TELLER/VAULT CASH                  ,22,Average Balance,254698.28
2025-07-31,101065,TELLER/VAULT CASH                  ,22,Ending Balance,255277.9
2025-07-31,101065,TELLER/VAULT CASH                  ,24,Average Balance,420469.24
2025-07-31,101065,TELLER/VAULT CASH                  ,24,Ending Balance,437430.16
2025-07-31,101065,TELLER/VAULT CASH                  ,25,Average Balance,350640.33
2025-07-31,101065,TELLER/VAULT CASH                  ,25,Ending Balance,374092.01
2025-07-31,101065,TELLER/VAULT CASH                  ,40,Average Balance,118096.86
2025-07-31,101065,TELLER/VAULT CASH                  ,40,Ending Balance,139359.63
2025-07-31,101065,TELLER/VAULT CASH                  ,41,Average Balance,123922.85
2025-07-31,101065,TELLER/VAULT CASH                  ,41,Ending Balance,145213.04
2025-07-31,101073,BRINKS DPU                         ,90,Average Balance,329313.52
2025-07-31,101073,BRINKS DPU                         ,90,Ending Balance,66434
2025-07-31,101074,BRINKS VAULT                       ,90,Average Balance,2850342.97
2025-07-31,101074,BRINKS VAULT                       ,90,Ending Balance,1949517
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,1,Average Balance,315625.75
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,2,Average Balance,-14240.32
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,3,Average Balance,-6371.61
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,4,Average Balance,129.03
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,5,Average Balance,-10598.39
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,6,Average Balance,-6840.32
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,7,Average Balance,-9194.35
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,9,Average Balance,-6529.84
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,10,Average Balance,-14879.03
2025-07-31,101075,BUY/SELL CLEARING TELLER CAP       ,15,Average Balance,90.32
