AsOfDate,Account Number,Account Name,Branch Number,View,Amount
2026-05-31,101015,ATM CASH                           ,1,Average Balance,120000
2026-05-31,101015,ATM CASH                           ,1,Ending Balance,120000
2026-05-31,101015,ATM CASH                           ,2,Average Balance,90000
2026-05-31,101015,ATM CASH                           ,2,Ending Balance,90000
2026-05-31,101015,ATM CASH                           ,4,Average Balance,80000
2026-05-31,101015,ATM CASH                           ,4,Ending Balance,80000
2026-05-31,101015,ATM CASH                           ,5,Average Balance,90000
2026-05-31,101015,ATM CASH                           ,5,Ending Balance,90000
2026-05-31,101015,ATM CASH                           ,6,Average Balance,40000
2026-05-31,101015,ATM CASH                           ,6,Ending Balance,40000
2026-05-31,101015,ATM CASH                           ,7,Average Balance,80000
2026-05-31,101015,ATM CASH                           ,7,Ending Balance,80000
2026-05-31,101015,ATM CASH                           ,9,Average Balance,5860
2026-05-31,101015,ATM CASH                           ,9,Ending Balance,5860
2026-05-31,101015,ATM CASH                           ,10,Average Balance,196127.87
2026-05-31,101015,ATM CASH                           ,10,Ending Balance,-84236
2026-05-31,101015,ATM CASH                           ,15,Average Balance,33548.39
2026-05-31,101015,ATM CASH                           ,15,Ending Balance,40000
2026-05-31,101015,ATM CASH                           ,17,Average Balance,212.9
2026-05-31,101015,ATM CASH                           ,21,Average Balance,80000
2026-05-31,101015,ATM CASH                           ,21,Ending Balance,80000
2026-05-31,101015,ATM CASH                           ,22,Average Balance,40000
2026-05-31,101015,ATM CASH                           ,22,Ending Balance,40000
2026-05-31,101015,ATM CASH                           ,24,Average Balance,60000
2026-05-31,101015,ATM CASH                           ,24,Ending Balance,60000
2026-05-31,101065,TELLER/VAULT CASH                  ,1,Average Balance,846137.73
2026-05-31,101065,TELLER/VAULT CASH                  ,1,Ending Balance,905180.59
2026-05-31,101065,TELLER/VAULT CASH                  ,2,Average Balance,376696.83
2026-05-31,101065,TELLER/VAULT CASH                  ,2,Ending Balance,426573.46
2026-05-31,101065,TELLER/VAULT CASH                  ,3,Average Balance,195778.85
2026-05-31,101065,TELLER/VAULT CASH                  ,3,Ending Balance,272054.82
2026-05-31,101065,TELLER/VAULT CASH                  ,4,Average Balance,249592.42
2026-05-31,101065,TELLER/VAULT CASH                  ,4,Ending Balance,174896.95
2026-05-31,101065,TELLER/VAULT CASH                  ,5,Average Balance,533167.83
2026-05-31,101065,TELLER/VAULT CASH                  ,5,Ending Balance,474202.09
2026-05-31,101065,TELLER/VAULT CASH                  ,6,Average Balance,206079.35
2026-05-31,101065,TELLER/VAULT CASH                  ,6,Ending Balance,177326.41
2026-05-31,101065,TELLER/VAULT CASH                  ,7,Average Balance,263875.81
2026-05-31,101065,TELLER/VAULT CASH                  ,7,Ending Balance,227643.19
2026-05-31,101065,TELLER/VAULT CASH                  ,9,Average Balance,245266.87
2026-05-31,101065,TELLER/VAULT CASH                  ,9,Ending Balance,149272.17
2026-05-31,101065,TELLER/VAULT CASH                  ,10,Average Balance,387845.62
2026-05-31,101065,TELLER/VAULT CASH                  ,10,Ending Balance,356558.49
2026-05-31,101065,TELLER/VAULT CASH                  ,15,Average Balance,274065.87
2026-05-31,101065,TELLER/VAULT CASH                  ,15,Ending Balance,298202.74
2026-05-31,101065,TELLER/VAULT CASH                  ,17,Average Balance,456954.17
2026-05-31,101065,TELLER/VAULT CASH                  ,17,Ending Balance,445587.75
2026-05-31,101065,TELLER/VAULT CASH                  ,21,Average Balance,481128.67
2026-05-31,101065,TELLER/VAULT CASH                  ,21,Ending Balance,446816.55
2026-05-31,101065,TELLER/VAULT CASH                  ,22,Average Balance,198053.11
2026-05-31,101065,TELLER/VAULT CASH                  ,22,Ending Balance,147184.72
2026-05-31,101065,TELLER/VAULT CASH                  ,24,Average Balance,176823.36
2026-05-31,101065,TELLER/VAULT CASH                  ,24,Ending Balance,176843.33
2026-05-31,101065,TELLER/VAULT CASH                  ,25,Average Balance,358179.42
2026-05-31,101065,TELLER/VAULT CASH                  ,25,Ending Balance,387876.61
2026-05-31,101065,TELLER/VAULT CASH                  ,35,Average Balance,390558.01
2026-05-31,101065,TELLER/VAULT CASH                  ,35,Ending Balance,508673.15
2026-05-31,101065,TELLER/VAULT CASH                  ,40,Average Balance,115834.56
2026-05-31,101065,TELLER/VAULT CASH                  ,40,Ending Balance,113704.32
2026-05-31,101065,TELLER/VAULT CASH                  ,41,Average Balance,150414.75
